,entity,summary,headline
831,COL,"Col. James Schnelle, commander of almost 1,600 Marines based in the strategic port city of Darwin, was relieved of his command after being stopped by police Sept. 30.,,,,,,",Head of U.S. Marines in Australia Is Replaced After DrunkenDriving Charge
832,GOOGL,"through of the discounted cash flows (DCF) method to estimate the attractiveness of Alphabet Inc (NASDAQ:GOOGL) as an investment opportunity. Anyone interested inRead More...,,,,,,",Investors In Alphabet Inc (NASDAQ:GOOGL) Are Paying Above The Intrinsic ValueToday I will be providing a simple run
833,SYMC,"Symantec Corp will cut 8 percent of its global workforce to boost profit margins, the antivirus software maker said on Thursday, while also lowering its yearly revenue forecast as it closed fewer business deals than expected.,,,,,,","Symantec cuts 8 percent of workforce, slashes revenue forecast"
834,KR,"NA,,,,,,",Kroger launches new ecommerce platform
835,COF,nan,Forge First Asset Management March 2018 Commentary
836,APH,nan,Ampio up 12% on rumored takeover
837,XOM,"Exxon, Chevron shares plunge after weak results spook Street,,,,,,","Exxon, Chevron shares plunge after weak results spook Street"
838,BSX,nan,Hancock Jaffe Updates IPO Terms
839,HON,nan,Nicholas Ward's Dividend Growth Portfolio
840,APC,"NA,,,,,,","Anadarko Petroleum 2% as Q1 revenues, production fall"
841,AAPL,"hours after the company reported third-quarter earnings of $2.34 per share on revenue of $53.27 billion.  Analysts were expecting Apple to report earnings of $2.18 per share on revenue of $52.,,,,,,","Apple Posts Revenue and Earnings Beats, Issues Positive Revenue GuidanceApple Inc.  shares are rising after"
842,TSN,"NA,,,,,,",Tyson Foods 6% after cutting profit guidance
843,HON,nan,Another Reason To Own Honeywell: A Deeper Dive Into The Upcoming Spinoff
844,HAS,nan,Toys 'R' Us to shut 180 stores
845,PEP,"The differing fortunes of PepsiCo's snack and beverage have attracted the attention of analysts, investment bankers and activist investor Nelson Peltz.,,,,,,",PepsiCo Indra Nooyi's departure could pave way for for spin of snack and beverage businesses
846,GS,"South African fintech JUMO to expand in Asia with Goldman Sachs backing,,,,,,",South African fintech JUMO to expand in Asia with Goldman Sachs backing
847,DWDP,"Names on the move ahead of the open.,,,,,,","Stocks making the biggest move premarket: DWDP, AXP, BBBY, LULU, TSLA & more"
848,COP,"U.S. oil producer ConocoPhillips said on Monday it has settled with Venezuela's state-run oil company, PDVSA, to recover about $2 billion for early dissolution of some joint ventures following the nationalization of the country's oil industry.,,,,,,",UPDATE 1ConocoPhillips settles with Venezuela's PDVSA to recover $2 bln
849,COF,nan,Capital One Financial declares $0.40 dividend
850,EA,"- it's just about taxes.,,,,,,",Why Electronic Arts Shares Popped 10% to a New HighIgnore the quarterly loss 
851,KMI,"NA,,,,,,",Kinder Morgan  I Think I'm In Love
852,F,nan,Ford Motor Files Cryptocurrency Patent
853,ILMN,nan,RiverPark Large Growth Fund Q4 2017 Performance Summary
854,SJM,nan,Textiles stocks a tariff casualty
855,XEC,"1.6%. Press Release,,,,,,","Cimarex Energy beats by $0.07, beats on revenueCimarex Energy (XEC): Q4 EPS of $1.47 beats by $0.07. Revenue of $550.9M (+44.2% Y/Y) beats by $18.18M. Shares "
856,LYB,nan,Dividend Sensei's Portfolio Update 33: A Priceless Buffett Strategy That Can Make You Rich
857,RE,"Cloud storage company Box's revenue forecast missed Wall Street estimates amid slowing growth in paid customers in the fourth quarter.,,,,,,",Box's revenue forecast misses estimates; shares plunge
858,IFF,nan,Daily Insider Ratings Round Up 5/29/18
859,HIG,nan,"Buy the insurers' dip after Travelers' Q2 miss, says Wells Fargo"
860,UPS,"The Teamsters have a list of demands as the two sides begin negotiations on one of the nation's largest collective bargaining agreements. ,,,,,,",Union heavyweight wants to ban UPS from using drones or driverless vehicles
861,HD,"The Dow Jones Industrial Average Thursday morning was hanging on to a modest advance and off its best levels of early trade as technology and internet stocks that had propelled the broader market pulled back.  The Dow  was up 72 points, or 0.3%, a...,,,,,,","Dow clings to modest gain, powered by McDonald's and Home Depot stocks, as tech sector pivots lower"
862,APC,nan,Anadarko Petroleum Gen 2 Completions Using More Sand To Boost Production
863,CI," U.S. health insurer Cigna Corp said on Thursday it would buy pharmacy benefits manager Express Scripts Holding Co for about $54 billion, the latest deal in the sector aimed at cutting soaring healthcare costs.,,,,,,",Health insurer Cigna to buy Express Scripts for about $54 billion(Reuters) 
864,AMAT,"Shares of several chipmakers ticked higher in the extended session Tuesday following better-than-expected earnings from Texas Instruments Inc. . Texas Instruments shares rallied nearly 5% after hours Tuesday as quarterly results topped Wall Street...,,,,,,",Chipmakers get afterhours boost following Texas Instruments earnings beat
865,GS,"Goldman Sachs Says Growth Fears Are Causing the Equity Meltdown,,,,,,",Goldman Sachs Says Growth Fears Are Causing the Equity Meltdown
866,HPQ,"Is HP Inc. (HPQ) Outperforming Other Computer and Technology Stocks This Year?,,,,,,",Is HP (HPQ) Stock Outpacing Its Computer and Technology Peers This Year?
867,WEC,nan,Invesco S&P 500 Low Volatility ETF (SPLV) August Summary
868,EW,"Jim Cramer flies through his take on callers' favorite stocks, including medical device play Edwards Lifesciences.,,,,,,",Cramer's lightning round: 'Don't run from' the declining medical device stocks
869,AGN,nan,Clearbridge Value Trust Q4 2017 Product Commentary
870,ADP,"The USD mostly lowerAs North American traders enter for the day the GBP is the strongest, while the CAD is the weakest. The USD is lower just ahead of the ADP report and other US data including ISM services data later this morning.&nbsp; China t...,,,,,,",The GBP is the strongest. The CAD is the weakest as NA traders enter
871,IFF,nan,Daily Insider Ratings Round Up 5/9/18
872,CCI,"Insider buying can be an encouraging signal for potential investors.One CEO and one beneficial owner were among the insider buyers featured this week.Some ...,,,,,,","Insider Buys Of The Week: Crown Castle (NYSE:CCI), IFF (NYSE:IFF), Newell Brands (NYSE:NWL) And More"
873,VAR,"line performance in the fourth quarter of fiscal 2018.,,,,,,",Varian Medical (VAR) Q4 Earnings: Is a Surprise in Store?Solid prospects in the Oncology segment to boost Varian Medical's (VAR) top
874,USB,"NA,,,,,,",Tracking Yacktman Asset Management Portfolio  Q4 2017 Update
875,AJG,"based Market Financial Group & its affiliate, Austin Consulti,,,,,,","Arthur J. Gallagher & Co. acquires Market Financial Group & Austin Consulting GroupArthur J. Gallagher & Co. ([[AJG]] +5.7%) announced the acquisition of Crystal Lake, Illinois"
876,OXY,"Goldman Sachs says these three stocks are underappreciated by Wall Street....RSPP,,,,,,",3 Hot Oil Stocks That Are Underappreciated by Wall Street
877,STT,"The Zacks Analyst Blog Highlights: IBM, Texas Instruments, Glaxo, Simon Property Group and State Street,,,,,,","The Zacks Analyst Blog Highlights: IBM, Texas Instruments, Glaxo, Simon Property Group and State Street"
878,NEE,nan,NextEra Energy Partners: Dividend Growth To Continue Despite Canadian Portfolio Sale
879,CME,"NA,,,,,,",Central European Media Enterprises' (CETV) CEO Michael Del Nin on Q1 2018 Results  Earnings Call Transcript
880,CSCO,"NA,,,,,,",My Dividend Growth Portfolio  Q2 2018 Summary
881,BXP,nan,O Scores An A
882,IPG,"NA,,,,,,",Interpublic Group of Companies goes exdividend tomorrow
883,LUV,"term prospects remain bright, making the stock look like a terrific bargain.,,,,,,","Southwest Airlines Stock Looks Cheap AgainAfter rallying in 2017, Southwest Airlines stock has plunged in 2018. However, Southwest's long"
884,PGR,"- Progressive Corp (PGR) or Travelers Companies (TRV) -- has stronger chances to fare better in terms of fundamentals.,,,,,,","Progressive Corp. or Travelers Companies: Which Scores Higher?On comparative judgment, we try and find out which stock "
885,NUE,"Shares of Nucor Inc.                                                                                                                                                                                                         ...,,,,,,","Nucor's stock jumps after profit rise, revenue beat"
886,HRL,nan,Lanny's May Dividend Income Summary
887,DISH,"time headline. These are breaking news, delivered the minute it happens, delivered ticker-tape style. Visit www.marketwatch.com or the quote page for more information about this breaking news.,,,,,,",Dish Network stock price target cut to $37 from $43 at UBSThis is a Real
888,NEE,nan,JinkoSolar to supply ~7M solar panels for NextEra Energy
889,FOX,"NA,,,,,,","TwentyFirst Century Fox beats by $0.04, beats on revenue"
890,CAH,nan,Bert's January Dividend Income Summary
891,PEG," Earnings Call Slides-NA,,,,,,",Public Service Enterprise Group Inc. 2017 Q4  Results 
892,SPG,"Although Simon Property (SPG) is putting in every effort to enhance the value of its assets, mounting pressure from online competitors will likely mar its performance in Q4.,,,,,,",Will ERetail Boom Mar Simon Property's (SPG) Q4 Earnings?
893,ISRG,"Alan Valdes of Silverbear Capital joins Yahoo Finance's Seana Smith from the floor of the New York Stock Exchange to discuss the latest market moves.Here's the performance of the Nasdaq 100 component stocks as of 3:00 pm ET:BMRN,Biomarin Pharm...,,,,,",NYSE trader: Tech stocks are best insulated from the trade war
894,EFX," The two Democrats on the five-member Federal Trade Commission voted to oppose the appointment of a lawyer tapped to head the commission's Bureau of Consumer Protection because of his previous work for Equifax and oth...,,,,,,","Democrats on FTC vote no on consumer protection appointeeWASHINGTON, May 16 (Reuters) "
895,SRE,nan,"Sempra Energy selects Mihalik as new CFO, Householder as COO"
896,EXPE," CEO-Marriott Could Cut Commissions It Pays To The Otas, Including Expedia And Bookings Holdings, Starting Later This Year-CEO,,,,,,","BRIEFMarriott Could Cut Commissions It Pays To The Otas, Including Expedia, Bookings Holdings"
897,MMC,"Marsh & McLennan's (MMC) Q2 results suffer a rise in expenses, which outdoes revenue growth.,,,,,,","Marsh & McLennan's (MMC) Q2 Earnings Miss Estimates, Up Y/Y"
898,INTC,"S&P 500 futures fell overnight. Broadcom jumped late on a $12 billion buyback plan while Qualcomm rose on fresh buyout talk. Intel and Taiwan Semiconductor are closer to buying opportunities. The post S&P 500 Futures Rise As JPMorgan Beats; Watch ...,,,,,,",S&P 500 Futures Rise As JPMorgan Beats; Watch These 4 Chip Giants
899,LUV,"Gary Kelly, Southwest Airlines CEO breaks down the airliner's quarterly results as fuel cost rises along with competition in the sector.,,,,,,",Southwest Airlines CEO: We had a very strong fourth quarter despite higher fuel costs
900,DLTR,"Avery Sheffield of Vantage Way Capital discusses her outlook for shares of Dollar Tree and Dollar General after they took a hit following their latest earnings reports.,,,,,,",Dollar store stocks discounted on earnings
901,UAL,"Be extra nice to that United Airlines employee the next time you plan to “Fly the Friendly Skies.” There’s a good chance they’re smiling on the outside, and fuming on the inside after a memo leaked late last week from the airline’s president, Scot...,,,,,,",United plans to end employee bonuses in favor of prize lottery
902,MPC,"Refining and Marketing excellence along with High transportation capacity positions Marathon Petroleum (MPC) as a compelling stock at the moment.,,,,,,",6 Reasons to Invest in Marathon Petroleum (MPC) Stock Now
903,HOG,"In a tweet, President Trump announced his support for the boycott after the company announced plans to start manufacturing in Europe.,,,,,,",President Trump backs HarleyDavidson Boycott
904,BLK,"NEW YORK/MEXICO CITY, May 7 (Reuters) - Mexico's presidential front-runner met BlackRock Inc Chief Executive Larry Fink on Monday, part of a push by the left-wing politician to reassure investors about his policies ahead of the July vote, and his ...,,,,,,",UPDATE 3Mexican leftist candidate has 'affable' meeting with BlackRock's Fink
905,DIS,"quarter earnings for fiscal 2018 after the close on Tuesday, Feb. 6. While the big focus among analysts for a while ...,,,,,,",Disney Earnings Preview: Will Fox Deal Distract From Everything Else? (NYSE:DIS)Walt Disney Co (NYSE: DIS) reports first
906,CTSH,"NA,,,,,,",Cognizant Tech 1.2% as J.P. Morgan moves to sidelines
907,AVB,nan,How To Retire Today: Beat Rising Costs
908,EXPE,"ahead for airlines to provide in-flight mobile connectivity in its airspace, but Indians are already No.1 or thereabouts when it comes to being tech-savvy when travelling overseas, according to a survey....,,,,,,",Indian travellers most tech savvy: Expedia surveyNEW DELHI: India may have just given the go
909,MU,nan,SA Interview: Investing Based On Institutional Fund Flows With Benjamin Rowles
